Altium Designer Pick and Place Locations
C:\Users\Wac\Desktop\repo_pega\iowlabs\MiniFluOpti\3 - Hardware\miniFOdriver_V1.0\Project Outputs for miniFOdriver_V1.0\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       07-09-21
Time:       02:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C4","Cap Semi","TopLayer","1608[0603]","1653.543","3435.040","90","Capacitor (Semiconductor SIM Model)"
"C3","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","718.504","2537.539","180","Electrolytic Aluminium Capacitor"
"U7","MAX6682MUA+T","TopLayer","MAXM-U8+1_L","3228.347","3336.614","90","Thermistor-to-Digital Converter, 10 Bits Temperature Resolution, -55 to 125 degC, 8-Pin SOP (U8+1), Pb-Free, Tape and Reel"
"R20_2","Res3","TopLayer","J1-0603","2135.826","2421.260","180","Resistor"
"R21_2","Res3","TopLayer","J1-0603","2135.827","2362.205","180","Resistor"
"R","RPI GPIO Connector","TopLayer","rpi","2365.000","3874.000","180","GPIO Header for Raspberry Pi A+/B+/Pi 2/Pi 3 - 2x20"
"R40","Res3","TopLayer","J1-0603","2627.952","2687.008","90","Resistor"
"tp-PWR_IN1","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","600.394","3976.378","90","Pin Header 2pos, 1 row, 2.54 pitch"
"Q1","IRF7401PbF-1","TopLayer","SOIC8","1663.386","2151.575","180","MOSFET N Channel 20V 8.7A 700mV @ 250uA 22mO @ 4.1A,4.5V SOIC-8_150mil RoHS"
"Q2","IRF7401PbF-1","TopLayer","SOIC8","1923.205","2151.575","180","MOSFET N Channel 20V 8.7A 700mV @ 250uA 22mO @ 4.1A,4.5V SOIC-8_150mil RoHS"
"Q3","IRF7401PbF-1","TopLayer","SOIC8","2183.024","2151.575","180","MOSFET N Channel 20V 8.7A 700mV @ 250uA 22mO @ 4.1A,4.5V SOIC-8_150mil RoHS"
"Q4","IRF7401PbF-1","TopLayer","SOIC8","2442.843","2151.575","180","MOSFET N Channel 20V 8.7A 700mV @ 250uA 22mO @ 4.1A,4.5V SOIC-8_150mil RoHS"
"R20","Res3","TopLayer","J1-0603","1624.015","2421.260","180","Resistor"
"R21","Res3","TopLayer","J1-0603","1624.016","2362.205","180","Resistor"
"C13","Cap Semi","TopLayer","1608[0603]","3110.236","3023.622","90","Capacitor (Semiconductor SIM Model)"
"U6","MAX6682MUA+T","TopLayer","MAXM-U8+1_L","3228.347","2962.598","90","Thermistor-to-Digital Converter, 10 Bits Temperature Resolution, -55 to 125 degC, 8-Pin SOP (U8+1), Pb-Free, Tape and Reel"
