Altium Designer Pick and Place Locations
C:\Users\Constanza\Desktop\GIT_repos\iowlabs_repos\2020_05_26-FluOpti\3 - Hardware\FOdriver_V2.0\Project Outputs for FOdriver_V2.0\Pick Place for PCBV2.csv

========================================================================================================================
File Design Information:

Date:       06-04-21
Time:       07:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"tp-V2","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","3044.921","8989.843","180","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-V1","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","3035.000","7840.000","180","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-9V","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","3644.173","10352.441","180","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-3V3","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","4222.244","7660.591","180","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-5V","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","3585.000","6498.268","180","Pin Header 2pos, 1 row, 2.54 pitch"
"tp-PWR_IN","Pin Header 2x1","TopLayer","HDR-TH_P2.54-H-M_A2541WV-2P","2403.150","6912.402","90","Pin Header 2pos, 1 row, 2.54 pitch"
"Heater selector","Pin Header 2x2c","TopLayer","HDR-TH_4P-P2.54-V-R2-C2-S2.54_A2541WV-2X2P","4445.000","10950.000","0","Pin Header 4pos, 2 row, 2.54 pitch"
"Blue selector","Pin Header 2x2c","TopLayer","HDR-TH_4P-P2.54-V-R2-C2-S2.54_A2541WV-2X2P","5000.000","10945.000","0","Pin Header 4pos, 2 row, 2.54 pitch"
"RG selector","Pin Header 2x2c","TopLayer","HDR-TH_4P-P2.54-V-R2-C2-S2.54_A2541WV-2X2P","3860.000","10950.000","360","Pin Header 4pos, 2 row, 2.54 pitch"
"J2","Pin Header 3x2","TopLayer","HDR-TH_6P-P2.54-V-R2-C3-S2.54_A2541WV-2X3P","3647.677","9170.433","270","Pin Header 6pos, 2 row, 2.54 pitch"
"J1","Pin Header 3x2","TopLayer","HDR-TH_6P-P2.54-V-R2-C3-S2.54_A2541WV-2X3P","3626.142","7954.252","270","Pin Header 6pos, 2 row, 2.54 pitch"
"PWR_OUT","Power connector 2x1","TopLayer","CONN-TH_430450212","2230.000","10951.496","90","Generic Header Power 2pos"
"I2C","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","2455.000","11455.000","180","Generic Header 3pos, 1 row, 2.54 pitch"
"V2","Power connector 2x1","TopLayer","CONN-TH_430450212","4293.504","11330.000","180","Generic Header Power 2pos"
"V1","Power connector 2x1","TopLayer","CONN-TH_430450212","4713.504","11330.000","180","Generic Header Power 2pos"
"12V","Power connector 2x1","TopLayer","CONN-TH_430450212","5113.504","11330.000","180","Generic Header Power 2pos"
"9V","Power connector 2x1","TopLayer","CONN-TH_430450212","3893.504","11335.000","180","Generic Header Power 2pos"
"GPIO2","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","5973.346","7952.835","90","Generic Header 3pos, 1 row, 2.54 pitch"
"GPIO1","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","5973.346","7460.709","90","Generic Header 3pos, 1 row, 2.54 pitch"
"PWM2(RPI)","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5992.283","7022.992","90","Generic Header 2pos, 1 row, 2.54 pitch"
"PWM1(RPI)","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5992.283","6629.291","90","Generic Header 2pos, 1 row, 2.54 pitch"
"PWM4","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5535.984","11304.252","180","Generic Header 2pos, 1 row, 2.54 pitch"
"PWM2","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5535.984","10974.252","180","Generic Header 2pos, 1 row, 2.54 pitch"
"PWM3","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5950.984","11309.252","180","Generic Header 2pos, 1 row, 2.54 pitch"
"PWM1","Generic header 2x1","TopLayer","CONN-TH_A2547WV-2P","5950.984","10979.252","180","Generic Header 2pos, 1 row, 2.54 pitch"
"B","Power connector 2x1","TopLayer","CONN-TH_430450212","5990.000","10122.126","90","Generic Header Power 2pos"
"RG8","Power connector 2x1","TopLayer","CONN-TH_430450212","5610.000","9697.126","90","Generic Header Power 2pos"
"RG7","Power connector 2x1","TopLayer","CONN-TH_430450212","6005.000","9697.126","90","Generic Header Power 2pos"
"RG3","Power connector 2x1","TopLayer","CONN-TH_430450212","5995.000","8872.126","90","Generic Header Power 2pos"
"RG6","Power connector 2x1","TopLayer","CONN-TH_430450212","5619.212","9281.456","90","Generic Header Power 2pos"
"RG2","Power connector 2x1","TopLayer","CONN-TH_430450212","5640.000","8442.126","90","Generic Header Power 2pos"
"T","Pin Header 3x1","TopLayer","HDR-TH_3P-P2.54-V","3973.268","5990.512","180","Pin Header 3pos, 1 row, 2.54 pitch"
"L","Pin Header 3x1","TopLayer","HDR-TH_3P-P2.54-V","5355.276","5989.213","180","Pin Header 3pos, 1 row, 2.54 pitch"
"S4","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","5827.717","5851.418","360","Generic Header 3pos, 1 row, 2.54 pitch"
"S2","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","4406.339","5852.717","360","Generic Header 3pos, 1 row, 2.54 pitch"
"S1","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","3559.882","5852.717","360","Generic Header 3pos, 1 row, 2.54 pitch"
"RPI_IN","Generic Header 4x2","TopLayer","CONN-TH_8P-P2.54-V-M_15477608","2752.480","5903.622","180","Generic Header 8 pos, 2 row, 2.54 pitch"
"PWR_IN","Power connector 2x1","TopLayer","CONN-TH_430450212","2231.890","7822.559","90","Generic Header Power 2pos"
"F4","Generic Fuse","TopLayer","F1206","2525.630","9859.410","360","SMD Fuse"
"F2","Generic Fuse","TopLayer","F1206","2794.567","10761.142","360","SMD Fuse"
"F1","Generic Fuse","TopLayer","F1206","3045.276","6960.630","360","SMD Fuse"
"D4","Schottky Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","3444.921","9959.843","0","Schottky Diodes"
"D3","Schottky Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","3429.291","8781.024","0","Schottky Diodes"
"D2","Schottky Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","3348.898","10352.441","180","Schottky Diodes"
"D1","Schottky Diode","TopLayer","SMB_L4.6-W3.6-LS5.3-RD","3280.354","6498.268","180","Schottky Diodes"
"C29","Cap Semi","TopLayer","1608[0603]","2720.630","8662.914","180","Capacitor (Semiconductor SIM Model)"
"C28","Cap Semi","TopLayer","1608[0603]","5413.819","7760.315","180","Capacitor (Semiconductor SIM Model)"
"C27","Cap Semi","TopLayer","1608[0603]","5413.819","7681.575","180","Capacitor (Semiconductor SIM Model)"
"C26","Cap Semi","TopLayer","1608[0603]","4752.559","7675.000","360","Capacitor (Semiconductor SIM Model)"
"C25","Cap Semi","TopLayer","1608[0603]","4753.898","7760.315","360","Capacitor (Semiconductor SIM Model)"
"C24","Cap Semi","TopLayer","1608[0603]","5157.913","7917.795","180","Capacitor (Semiconductor SIM Model)"
"C23_4","Cap Semi","TopLayer","1608[0603]","5708.700","6925.236","270","Capacitor (Semiconductor SIM Model)"
"C23_3","Cap Semi","TopLayer","1608[0603]","5208.701","6862.480","270","Capacitor (Semiconductor SIM Model)"
"C23_2","Cap Semi","TopLayer","1608[0603]","4767.834","6870.866","270","Capacitor (Semiconductor SIM Model)"
"C23_1","Cap Semi","TopLayer","1608[0603]","4288.976","6811.929","270","Capacitor (Semiconductor SIM Model)"
"C22_4","Cap Semi","TopLayer","1608[0603]","5590.590","7358.307","180","Capacitor (Semiconductor SIM Model)"
"C22_3","Cap Semi","TopLayer","1608[0603]","5096.772","7289.370","180","Capacitor (Semiconductor SIM Model)"
"C22_2","Cap Semi","TopLayer","1608[0603]","4649.724","7303.937","180","Capacitor (Semiconductor SIM Model)"
"C21_4","Cap Semi","TopLayer","1608[0603]","5374.055","7102.402","90","Capacitor (Semiconductor SIM Model)"
"C21_3","Cap Semi","TopLayer","1608[0603]","4880.236","7103.150","90","Capacitor (Semiconductor SIM Model)"
"C21_2","Cap Semi","TopLayer","1608[0603]","4428.188","7117.401","90","Capacitor (Semiconductor SIM Model)"
"C21_1","Cap Semi","TopLayer","1608[0603]","3954.331","7016.654","90","Capacitor (Semiconductor SIM Model)"
"C20_4","Cap Semi","TopLayer","1608[0603]","5472.480","7102.402","270","Capacitor (Semiconductor SIM Model)"
"C20_2","Cap Semi","TopLayer","1608[0603]","4526.614","7117.401","270","Capacitor (Semiconductor SIM Model)"
"C20_1","Cap Semi","TopLayer","1608[0603]","4052.756","7020.591","270","Capacitor (Semiconductor SIM Model)"
"C19","Cap Semi","TopLayer","1608[0603]","4428.799","9835.768","180","Capacitor (Semiconductor SIM Model)"
"C18","Cap Semi","TopLayer","1608[0603]","4625.000","10890.000","180","Capacitor (Semiconductor SIM Model)"
"C17","Cap Semi","TopLayer","1608[0603]","5190.000","10885.000","180","Capacitor (Semiconductor SIM Model)"
"C16","Cap Semi","TopLayer","1608[0603]","4075.000","10870.000","180","Capacitor (Semiconductor SIM Model)"
"C15","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","2523.779","8387.323","270","Electrolytic Aluminium Capacitor"
"C14","Cap Semi","TopLayer","1608[0603]","3647.677","9997.205","270","Capacitor (Semiconductor SIM Model)"
"C13","Cap Semi","TopLayer","1608[0603]","2722.480","9820.040","180","Capacitor (Semiconductor SIM Model)"
"C12","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","2505.945","9524.764","270","Electrolytic Aluminium Capacitor"
"C11","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","3547.401","8407.008","270","Electrolytic Aluminium Capacitor"
"C10","Cap Semi","TopLayer","1608[0603]","3645.827","8781.024","270","Capacitor (Semiconductor SIM Model)"
"C9","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","3549.252","9623.189","270","Electrolytic Aluminium Capacitor"
"C8","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","3220.433","11194.213","270","Electrolytic Aluminium Capacitor"
"C7","Cap Semi","TopLayer","1608[0603]","2960.119","10373.858","270","Capacitor (Semiconductor SIM Model)"
"C6","Cap pol","TopLayer","CAP_SMD_Electrolytic_13.5x13.5","2617.402","10387.126","270","Electrolytic Aluminium Capacitor"
"C5","Cap Semi","TopLayer","1608[0603]","4360.039","7759.016","180","Capacitor (Semiconductor SIM Model)"
"C4","Cap Semi","TopLayer","1608[0603]","4360.039","7857.441","180","Capacitor (Semiconductor SIM Model)"
"C3","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","3662.756","7305.039","270","Electrolytic Aluminium Capacitor"
"C2","Cap pol","TopLayer","CAP_SMD_Electrolytic_13.5x13.5","2835.000","6603.346","270","Electrolytic Aluminium Capacitor"
"C1","Cap pol","TopLayer","CAP_SMD_Electrolytic_10x10","2521.260","7325.787","270","Electrolytic Aluminium Capacitor"
"U3","LM2596-ADJ","TopLayer","TO-263-5","3193.819","10680.512","180","DC-DC Converters Step-Down Adjustable 1 4.5V 40V 1.2V 37V 3A TO-263-5 RoHS"
"H1","Power connector 2x1","TopLayer","CONN-TH_430450212","5988.228","10533.228","90","Generic Header Power 2pos"
"U7","ADS1115","TopLayer","VSSOP_-_10","5098.858","7780.000","270","Analog To Digital Converters (ADCs) VSSOP-10 RoHS"
"F3","Generic Fuse","TopLayer","F1206","2543.464","8702.284","360","SMD Fuse"
"RG5","Power connector 2x1","TopLayer","CONN-TH_430450212","5993.228","9281.456","90","Generic Header Power 2pos"
"W","Power connector 2x1","TopLayer","CONN-TH_430450212","5605.000","10117.126","90","Generic Header Power 2pos"
"RG1","Power connector 2x1","TopLayer","CONN-TH_430450212","6005.000","8441.181","90","Generic Header Power 2pos"
"H2","Power connector 2x1","TopLayer","CONN-TH_430450212","5614.213","10533.228","90","Generic Header Power 2pos"
"C20_3","Cap Semi","TopLayer","1608[0603]","4978.662","7103.150","270","Capacitor (Semiconductor SIM Model)"
"sens_1","TP","TopLayer","TP","4385.000","6485.000","0","Solder test point"
"sens_2","TP","TopLayer","TP","4885.000","6485.000","0","Solder test point"
"sens_3","TP","TopLayer","TP","5325.000","6500.000","0","Solder test point"
"sens_4","TP","TopLayer","TP","5620.000","6500.000","0","Solder test point"
"adc_1","TP","TopLayer","TP","4430.000","7255.000","0","Solder test point"
"adc_2","TP","TopLayer","TP","4935.000","7270.000","0","Solder test point"
"adc_3","TP","TopLayer","TP","5375.000","7285.000","0","Solder test point"
"adc_4","TP","TopLayer","TP","5795.000","7060.000","0","Solder test point"
"sig_1","TP","TopLayer","TP","4065.000","7385.000","0","Solder test point"
"sig_2","TP","TopLayer","TP","4490.000","7380.000","0","Solder test point"
"sig_3","TP","TopLayer","TP","4970.000","7390.000","0","Solder test point"
"sig_4","TP","TopLayer","TP","5455.000","7390.000","0","Solder test point"
"3","TP","BottomLayer","TP","3855.000","9975.000","180","Solder test point"
"0","TP","BottomLayer","TP","3855.000","10285.000","180","Solder test point"
"4","TP","BottomLayer","TP","3855.000","9890.000","180","Solder test point"
"5","TP","BottomLayer","TP","3855.000","9790.000","180","Solder test point"
"6","TP","BottomLayer","TP","3855.000","9680.000","180","Solder test point"
"7","TP","BottomLayer","TP","3855.000","9580.000","180","Solder test point"
"8","TP","TopLayer","TP","4915.000","9545.000","0","Solder test point"
"9","TP","TopLayer","TP","4925.000","9830.000","0","Solder test point"
"10","TP","TopLayer","TP","4925.000","9930.000","0","Solder test point"
"11","TP","TopLayer","TP","4925.000","10515.000","0","Solder test point"
"12","TP","BottomLayer","TP","4665.000","10080.000","180","Solder test point"
"13","TP","BottomLayer","TP","4665.000","10180.000","180","Solder test point"
"14","TP","BottomLayer","TP","4665.000","10295.000","180","Solder test point"
"15","TP","BottomLayer","TP","4665.000","10405.000","180","Solder test point"
"1","TP","BottomLayer","TP","3855.000","10190.000","180","Solder test point"
"2","TP","BottomLayer","TP","3855.000","10075.000","180","Solder test point"
"PWR_RPI","USB-C female 6","TopLayer","USB-C_SMD_6_contacts","2144.685","6300.000","0","USB - Type C Female 6 USB Connectors RoHS"
